preparacion.id	preparacion.paso	preparacion.receta
1	Pelar las zanahorias y cortarlas en trozos, cocinar. Pueden ser hervidas o cocinadas al horno, aunque la mejor opcion siempre es al vapor para evitar la perdida de nutrientes. una vez cocidas, reservar. Pelar las papas (o batatas o calabaza), y cortarlas en bastones de tamaño similar. Colocar en bandeja aceitada y meter al horno. Cocinar hasta que esten crocantes. Mientras se cocinan los bastoncitos, tomar las zanahorias y procesarlas con el medio ajo, la sal y el jugo de limon. Incorporar el aceite en forma de hilo. Servir. ¡Delicioso!	Bastoncitos de zanahoria
2	Rallar los zapallitos y la cebolla, mezclarlos en un bowl con la leche y el huevo previamente batido. Incorporar sal y pimienta. Añadir las cucharadas de harina, mezclar bien. Por ultimo, en una sarten caliente colocar la mezcla en forma circular dandole el tamaño deseado. Tambien pueden ser horneados si asi lo deseas. 	Tortitas de zapallito y cebolla
3	Hervir las papas con piel por aproximadamente media hora, hasta que esten tiernas sin que se quiebre la piel.  Retirar y esperar que se enfrien. Mientras saltear los vegetales, cortados bien chiquitos, en una sarten antiadherente. Agregar la pizca de sal y pimienta. Reservar. Cortar el queso muzzarella en cubitos. Una vez que las papas estan frias, cortar un ovalo en la parte superior y ahuecarlas. Introducir los vegetales salteados y por ultimo, los cubitos de muzzarella. Cocinar en horno envueltas en papel aluminio por 10 minutos, o destapadas hasta que gratine la muzzarella. ¡A disfrutar!	Papas sorpresa
4	Cocinar el brócoli preferentemente al vapor, para evitar la perdida de nutrientes. Sino hervir, controlando que no se pase. Una vez cocido, enfriar y picar finamente flor y troncos tiernos. Reservar. Poner el agua de la pasta a hervir y cocinar según indicación. En una ollita, poner la manteca a derretir, luego incorporar la harina de trigo, revolviendo hasta unificar. Comenzar a incorporar el caldo de a poco y revolviendo, hasta que la preparación comience a tomar cierta consistencia. Una vez que tomo la consistencia deseada de salsa, sacar del fuego e incorporar el brócoli picado. No es necesario incorporar sal, a menos que el caldo casero no posea. 	Pasta al brócoli
5	Para las milanesas: Lavar las berenjenas y cortarlas dejando 1 cm de espesor. Pasar primero por el  huevo batido previamente con un tenedor y mezclado con la sal y la pimienta. Pasar luego por el rebozador mezclado con las semillas. Colocar en placa aceitada y hornear hasta que se doren. Para la salsa: procesar o licuar o mixear los tomates. Picar la cebolla y el ajo. En una sarten, colocar el aceite, la cebolla y el ajo hasta dorar, agregar el tomate triturado, el azucar, la sal y la pimienta. Cocinar hasta que el tomate tome un color rojo intenso. Cortar la muzarella en cubos. Voltear las milanesas ya horneadas, dejandolas en la placa. Colocar salsa de tomate y muzarella. Hornear hasta que se derrita el queso. Servir con un poco de oregano. ¡A disfrutar!	Napolitanas de berenjena
6	Pelar y cortar la banana en rodajitas. Colocar en un recipiente apto freezer y congelar. Una vez congeladas, procesar o licuar, agregando de a chorritos la leche y haciendo pausas entre medio. Incorporar la esencia de vainilla. Las nueces y almendras podes colocarlas en este momento o enteras al finalizar. ¡No es necesario endulzar!	Helado rápido de banana
7	Preparar la gelatina según las instrucciones de la caja. Una vez que se enfría, colocar en la heladera mientras cortamos la banana y la manzana en pequeños trozos. Incorporar a la gelatina. Esperar a que solidifique y... ¡A probar!	Gelatina frutal
9	Cortar las frutas en trozos del tamaño deseado, y colocarlas en los moldes para paletas, terminar de rellenar los espacios libres con el jugo de naranja. Congelar y ¡a disfrutar!	Paletas frutales
10	Primero rallar la zanahoria muy finamente. cocinar el brócoli preferentemente al vapor y cortarlo finamente. en un bol mezclar la zanahoria, el brócoli, el ajo, los huevos, la miga de pan y el queso, hasta que estén bien combinados. formar bolitas, aplanar y rebozar en pan rallado mezclado con las semillas. por último hornear hasta que estén crocantes en una placa aceitada	Veggie Nuggets 
11	Cortar el queso en cubos grandes. En palitos de brochette intercalar un cubo de queso, una hoja de albahaca y un tomate cherry. Repetir 3 veces en cada palillo.	Pinchos Caprese
12	Poner un poco de aceite en una sartén y le agregar un ajo picado. Una vez que esté caliente, agregamos el arroz y lo doramos hasta que esté brillante, o perlado. Agregamos 3 veces de agua por porción de arroz y lo cocinamos hasta que esté tierno. Una vez listo pasar a un plato y enfriar. Cortar los tomates por la parte de arriba y sacar todo el interior, incluyendo el tallo. Una vez que ya le retiramos toda la pulpa, los ponerlos boca abajo en un plato. Es importante que queden bien vacíos y secos para que no humedezcan el relleno. Picar la cebolla de verdeo, la zanahoria, y el morrón. Por último, la salsa: mezclar la mayonesa y la mostaza con queso crema. En un bol vamos a mezclar el arroz con la salsa, el morrón, la cebolla de verdeo y la zanahoria. Agregar el atún y mezclar bien. Por último agregar aceitunas picadas. Rellenar el tomate ahuecado y decorar con aceitunas fileteadas	Tomates rellenos
13	Pelar la papa y la zanahoria. Cortar con un pela papas. Reservar en agua. Para preparar el ligue, colocar en un bol la leche, el almidón de maíz y condimentar con nuez moscada y sal. Mezclar para integrar. Preparar un molde tipo budín inglés, forrar con papel aluminio y aceitar. Intercalar en el molde papas, zanahorias y ligue hasta cubrir el molde. Cocinar a baño de maría a 180° C por unos 30 minutos. Dejar enfriar y cortar en porciones.	Librito de papa y zanahoria
14	Limpiar la calabaza, pelarla, retirar las semillas y los filamentos internos. Cortar en rodajas de 1 cm de grosor, luego en cubos. Colocar la calabaza en una bandeja para hornear forrada con papel manteca y cocinar en un horno precalentado a 200 ° C durante unos 12-15 minutos, hasta que esté tierna. Sacar del horno y poner en un plato. Aplastar con la ayuda de un tenedor hasta obtener un puré homogéneo y dejar enfriar. Colocar el puré en un tazón grande, agregar un huevo, el queso rallado, pan rallado (poco a poco), nuez moscada, sal y pimienta. Con una cuchara, mezclar bien hasta que la mezcla esté firme pero suave. Tomar un poco de masa a la vez, lo suficiente para armar croquetas del tamaño de una nuez. Acomodarlas en una bandeja. Verter el huevo restante en un plato hondo y agregar una pizca de sal, mezclar con un tenedor. Poner el pan rallado en otro plato. Pasar las croquetas primero por el huevo y luego por el pan rallado para obtener un empanado uniforme. Engrasar una sartén con un poco de aceite. Acomodar las croquetas y cocinar a 180 ° C durante aproximadamente 20-25 minutos, asegurándose de girarlas al menos una vez para lograr un dorado uniforme.	Croquetas de calabaza
15	Para hacer el guacamole, picar finamente el tomate y la cebolla e introducirlos en un bol junto con el perejil, una pizca de comino y el jugo de limón. Pelar y triturar la palta y añadirla al bol. Cortar las pechugas el filets de 1 cm de espesor. Colocar el guacamole sobre las pechugas y enrollarlas. Con la ayuda de un palillo escarbadientes cerrar el rollito. Repetir la operación con todas las pechugas. Cocinar las pechugas a la plancha con muy poco aceite. ¡A disfrutar!	Rollitos de pollo con guacamole
16	Integrar todos los ingredientes. Por otro lado, preparar una sartén con dos centímetros de aceite, calentar y volcar de a cucharadas la preparación. Dorarlas de ambos lados. Una vez listas, apoyarlas sobre papel absorbente.	Buñuelos de hojas verdes
17	Para el relleno: cortar todos los vegetales del tamaño deseado y saltear con el aceite, y un toque de pimienta y sal. Reservar. Cortar el queso en cubos y reservar. Para las tortillas: mezclar la harina y la sal en un bowl. Añadir el agua de a poco e ir mezclando. Pasar la mezcla a la mesada y amasar hasta obtener una masa lisa. dividir en ocho bollitos y estirar. Para cocinarlas, calentar una sartén de unos 18 cm de diámetro a fuego alto, una vez caliente bajar a fuego medio y poner una tortilla. Cuando se despeguen los bordes, voltear. Cuando cuando esté cocida retirar. Repetir con los ocho bollitos. una vez que tenemos todo listo rellenar las tortillas con los vegetales y los cubitos de queso. ¡A disfrutar!	Fajitas Veggie
18	En una olla, colocar el caldo hasta que hierva. Incorporar el arroz y cocinar por 13 minutos aproximadamente. Revisar que el arroz no se quede sin liquido antes de estar cocido. Una vez cocido, reservar. Rallar la zanahoria y el zapallito. Picar la cebolla, el ajo, el morron y saltearlos en una sarten con el aceite. Cuando esten dorados incorporar la zanahoria y el zapallito. Incorporar sal y pimienta. Agregar el arroz y mezclar hasta distribuir bien los vegetales. Servir con queso rallado.   	Risotto multicolor
19	Cortar la calabaza en rodajas y colocarla en una placa aceitada. Salpimentar. cocinar en horno hasta que estén tiernas. una vez cocida retirar la cáscara y procesar hasta que sea un puré. por otro lado cortar el pollo en cubitos chicos y saltear hasta que esté cocido. Reservar. estirar la masa en una tartera y meter al horno por 5 minutos. Mezclar el pollo con el puerro y agregar a la tartera. Colocar el queso casancrem esparciéndolo arriba de la tarta. por último mezclar el puré de calabaza con los huevos el queso rallado y hornear por 15 minutos. 	Tarta de pollo y calabaza
20	PARA LA MASA: En un recipiente colocar la levadura fresca y desmenuzarla un poco con las manos, agregarle 2 cucharadas de harina junto con el azúcar y un chorrito del agua tibia ( que no quede ni muy espeso ni muy líquido) tapar y dejar reposar por unos 5 minutos para activar la levadura. En otro recipiente amplio colocar la harina formando una corona y añadir alrededor la sal y en el centro colocar la mezcla de levadura y el aceite. Incorporar el agua tibia de a poco hasta lograr una masa chiclosa (se tiene que pegar en las manos) agarrarla con fuerza estirarla y volverla a unir integrando todos los ingredientes. Amasar por 10' aprox. Una vez formado el bollo untarlo con un poco de aceite tapar y dejar reposar por 40 a 50 minutos. Hasta que triplique su volumen. Para la cocción: aceitar una pizzera, tomar la masa y estirarla desde el centro hacia los bordes. De ésta masa sale 1 pizza media masa. Llevar a horno fuerte por 10'. Y listo! PARA EL ARMADO: Precalentar el horno a 250º C. Añadir la salsa de tomate triturado con una cuchara, untar toda la superficie dejando los bordes sin tomate. Espolvorear con el orégano picado. Meter la base de pizza al horno sobre la plancha de metal y bajar la temperatura del horno a 180ºC. Dejarla sólo 2-3 minutos, sacar la pizza del horno. Lavar y cortar en cuadraditos pequeños la berenjena y el zapallito. En juliana la cebolla morada y el morrón rojo. Reservar estos ingredientes en un bowl grande al que le vamos a añadir un chorrito de aceite, sal y pimienta. Repartir los vegetales encima de la base que acabas de sacar del horno y añadir los trozos de queso mozzarella repartido por encima de los vegetales para que cuando funda se reparta por todos los huecos de la base. Por último rallar por encima el queso. Hornear unos 10-12 minutos en la bandeja del medio. Sacar del horno y añadir un chorrito de aceite de oliva. Si la dejas unos minutos sobre una rejilla, la base no quedará nada húmeda y resultará más crujiente. Añadir la salsa de tomate triturado con una cuchara, untar toda la superficie dejando los bordes sin tomate. Espolvorear con el orégano picado. Meter la base de pizza al horno sobre la plancha de metal y bajar la temperatura del horno a 180ºC. Dejarla sólo 2-3 minutos, sacar la pizza del horno. Lavar y cortar en cuadraditos pequeños la berenjena y el zapallito. En juliana la cebolla morada y el morrón rojo. Reservar estos ingredientes en un bowl grande al que le vamos a añadir un chorrito de aceite, sal y pimienta. Repartir los vegetales encima de la base que acabas de sacar del horno y añadir los trozos de queso mozzarella repartido por encima de los vegetales para que cuando funda se reparta por todos los huecos de la base. Por último rallar por encima el queso. Hornear unos 10-12 minutos en la bandeja del medio. Sacar del horno y añadir un chorrito de aceite de oliva. Si la dejas unos minutos sobre una rejilla, la base no quedará nada húmeda y resultará más crujiente.Añadir la salsa de tomate triturado con una cuchara, untar toda la superficie dejando los bordes sin tomate. Espolvorear con el orégano picado. Meter la base de pizza al horno sobre la plancha de metal y bajar la temperatura del horno a 180ºC. Dejarla sólo 2-3 minutos, sacar la pizza del horno. Lavar y cortar en cuadraditos pequeños la berenjena y el zapallito. En juliana la cebolla morada y el morrón rojo. Reservar estos ingredientes en un bowl grande al que le vamos a añadir un chorrito de aceite, sal y pimienta. Repartir los vegetales encima de la base que acabas de sacar del horno y añadir los trozos de queso mozzarella repartido por encima de los vegetales para que cuando funda se reparta por todos los huecos de la base. Por último rallar por encima el queso. Hornear unos 10-12 minutos en la bandeja del medio. Sacar del horno y añadir un chorrito de aceite de oliva. Si la dejas unos minutos sobre una rejilla, la base no quedará nada húmeda y resultará más crujiente.Añadir la salsa de tomate triturado con una cuchara, untar toda la superficie dejando los bordes sin tomate. Espolvorear con el orégano picado. Meter la base de pizza al horno sobre la plancha de metal y bajar la temperatura del horno a 180ºC. Dejarla sólo 2-3 minutos, sacar la pizza del horno. Lavar y cortar en cuadraditos pequeños la berenjena y el zapallito. En juliana la cebolla morada y el morrón rojo. Reservar estos ingredientes en un bowl grande al que le vamos a añadir un chorrito de aceite, sal y pimienta. Repartir los vegetales encima de la base que acabas de sacar del horno y añadir los trozos de queso mozzarella repartido por encima de los vegetales para que cuando funda se reparta por todos los huecos de la base. Por último rallar por encima el queso. Hornear unos 10-12 minutos en la bandeja del medio. Sacar del horno y añadir un chorrito de aceite de oliva. Si la dejas unos minutos sobre una rejilla, la base no quedará nada húmeda y resultará más crujiente.	Pizza Veggie
21	Para la masa: Triturar las remolachas en la procesadora y reservar. Separar las claras de las yemas y batir las claras a punto nieve. Reservar. En otro bol batir las yemas y añadir la leche, la manteca derretida y las remolachas trituradas, mezclando todo bien. Añadir la harina tamizada con el polvo de hornear y por último agregar las claras batidas a nieve, incorporando suavemente hasta integrar bien. Poner una sartén a fuego medio y le agregar una cucharadita de manteca. Con un cucharón poner un poco de mezcla en la sartén. Cuando comienza a despegarse por los bordes y se hacen burbujitas en la masa, es el momento de darle la vuelta para que se cocine por el otro lado. Cuando esté cocida la colocamos sobre un plato donde irán apiladas. Así, cocinar toda la masa, obteniendo 8 unidades de 18 cm de diámetro aproximadamente. Para el relleno: Hervir los huevos y asar el morrón en el horno por 20 minutos (también se puede poner crudo). Mezclar el atún, el morrón asado cortado en tiritas y el huevo duro. Mezclamos la mayonesa con el queso crema. Para el armado: Poner una tortita en un plato, untar con la crema de mayonesa y cubrir con una capa de la mezcla. Poner por encima otra tortita, la untarla con la crema y poner otra capa de la mezcla. Completar la torre alternando capas de tortitas con relleno.	Torre de crepes de remolacha
22	Lavar bien los zapallitos y hervirlos en agua con sal durante 7 minutos. Deben quedar cocidos pero no pasados. Quitar una tapita en la parte superior y vaciar. Colar la pulpa y colocar los zapallitos boca abajo para que suelten todo el líquido. Preparar el relleno salteando la cebolla en un chorrito de aceite. Una vez que la cebolla esté dorada añadir la carne y rehogar a fuego fuerte. Agregar la pulpa de los zapallitos y dejar 5 minutos más. Retirar del fuego y agregar los huevos, el perejil picado, dos cucharadas de queso rallado, sal, pimienta y nuez moscada. Rellenar los zapallitos y espolvorear con el pan rallado mezclado con el queso restante. Llevar a horno precalentado hasta que estén bien dorados. ¡Servir!	Zapallitos rellenos
23	En primer lugar, lavar y picar todas las verduras. En una sartén agregar 1 cucharadita de aceite y llevar a fuego medio. Cuando esté caliente incorporar las verduras y saltearlas por 5 minutos, una vez listas reservar. En un recipiente añadir los huevos, las dos cucharadas de leche y remover bien hasta que estén mezclados, añadir sal y pimienta al gusto. En una sartén antiadherente agregar un par de cucharaditas de aceite y llevar a fuego medio, una vez caliente agregar los huevos. Cuando los bordes de los huevos se comiencen a cocinar, levantá por un lateral el omelette para que el huevo que no esté cocinado se vaya hacia un lado, de esta forma de cocinará más rápido. Cuando los bordes estén dorados, agregar las verduras y el queso Gouda rallado o entero, doblar la tortilla por la mitad y dejar que se cocine durante 2 minutos más. Una vez transcurrido este tiempo, ¡tu omelette de verduras estará listo!	Omellette nutritivo
24	Colocar todos los ingredientes en un bol y mezclarlos bien hasta formar una masa homogénea. Darle forma de milanesa a la masa y pasarla por pan rallado. Cocinarlas en una placa de horno aceitada .	Milamburguesa de arroz y vegetales
25	Para hacer los crepes: Mezclar en un bowl, la manteca fundida, la leche, la esencia de vainilla, el azucar y los huevos. Con una batidora de mano, batir hasta obtener una mezcla uniforme. Incorporar la harina de a poco y batir hasta que no queden grumos. En una sarten antiadherente de aproximadamente 18 cm de diámetro, colocar la mezcla con un cucharon. Una vez que el crepe se despegue de la sarten, voltear. Retirar. Colocar uno encima del otro en un plato. Se pueden comer tibios o fríos. Para el relleno: cortar las frutas en trozos muy pequeños y ponerlas en el crepe. Doblar en forma de arrollado. Servir.	Crepes de fruta fresca
26	Corta las frutas en trozos, y colócalas en palillos brochette de madera o plástico apto, intercalando entre las 3 frutas. ¡Y listo!	Pinchos coloridos
27	Elegí 2 frutas, cortalas en trozos y congelalas. Una vez listas, elegí una base para tu bebida (puede ser leche, agua, bebida vegetal, o jugo de naranja/pomelo). Por ultimo, licua todo, y al momento de servir, añadile las semillas espolvoreándolas. ¡A disfrutar!	Smoothie
28	Limpiar las frutillas, cortarlas en trozos y ponerlas en un recipiente apto freezer junto con las moras y las frambuesas. Congelar. Cuando estén listas, procesar con el pote de yogur. ¡Y listo!	Helado de yogur y frutos rojos
29	En un bowl mezclar las bananas con la taza de avena, utilizando las manos para hacerlo. Esta bien si quedan pedazos de banana más grandes. Agregar la vainilla a la mezcla y revolver. Formar pequeñas bolitas con la mezcla y colocarlas en una bandeja previamente aceitada. Precalienta tu horno a 250°C y hornea por 15 minutos aproximadamente.	Galletitas de banana
30	Colocar las semillas de chía en el recipiente de la licuadora o mixer. Agregar la banana cortada en trozos para facilitar el licuado de la misma. Añadir la leche y Licuar unos minutos hasta que se forme una crema de consistencia media espesa. Volcar el contenido de la licuadora a un vaso de vidrio y reservar en la heladera al menos durante 2 horas. Si no tenes tiempo para prepararlo a la mañana, es ideal para ponerlo dentro de un frasco la noche anterior y dejarlo toda la noche refrigerándose.Por último, al momento de comer, decorar con trocitos de la fruta elegida y las almendras.	Pudin de chia
31	Pelar y rallar las manzanas y colocarlas en una cacerola junto con 1 vaso de jugo de naranja y el azúcar, cocinar por 20 minutos. Diluir 2 cucharadas colmadas de almidón de maíz en ½ vaso de jugo de naranja y agregar a la preparación de manzana. Cocinar hasta que espese y se cocine el almidón. Colocar la mezcla en un molde acaramelado, llevar a la heladera y, cuando solidifique, desmoldar.	Flan de manzana sin huevo
